rva	size	subsys	verdict	first_op
00413bc0	173	hud	SKIP:REGCONV	push ecx
00422440	45	gameplay	SKIP:TRANSC+FLDSTN	fld dword ptr [0x5cd310]
004233e0	160	ai	SKIP:TRANSC+FLDSTN	fld dword ptr [esp + 8]
004277a0	147	frontend	SKIP:REGCONV	push esi
00431b20	15	audio	SKIP:TRANSC	fld dword ptr [0x7f0f00]
00431b50	15	util	SKIP:TRANSC	fld dword ptr [0x7f0f04]
00431b60	15	util	SKIP:TRANSC	fld dword ptr [0x7f0f08]
00431b80	370	frontend	SKIP:REGCONV	mov ecx, dword ptr [eax*4 + 0x67ea98]
00443300	307	ai	SKIP:FLDSTN	mov ecx, dword ptr [esp + 8]
0044c740	259	render	SKIP:FLDSTN	mov ecx, dword ptr [esp + 4]
00456eb0	181	gameplay	CLEAN	push ebp
0045ac40	298	gameplay	SKIP:FLDSTN+REGCONV	sub esp, 0x40
0045c550	232	gameplay	SKIP:BIGFRAME	mov eax, dword ptr [esp + 4]
0045de80	236	render	SKIP:REGCONV	sub esp, 8
00475ab0	337	render	SKIP:FLDSTN	mov eax, dword ptr [esp + 0xc]
00482ae0	301	vehicle	SKIP:FLDSTN	mov eax, dword ptr [esp + 0xc]
00488320	108	sky	SKIP:REGCONV	mov ecx, dword ptr [eax]
0048b650	355	particle	SKIP:FLDSTN	fld dword ptr [0x5d757c]
004b4550	247	util	SKIP:FLDSTN	mov eax, dword ptr [esp + 4]
004c1a70	150	render	SKIP:FLDSTN	sub esp, 8
004c3910	149	render	SKIP:FLDSTN	mov eax, dword ptr [esp + 8]
004c4270	91	render	SKIP:FLDSTN	mov eax, dword ptr [esp + 4]
004c42d0	137	render	SKIP:FLDSTN	mov eax, dword ptr [esp + 4]
004c4360	200	render	SKIP:FLDSTN	sub esp, 0x18
004c4eb0	338	render	SKIP:FLDSTN	mov ecx, dword ptr [esp + 8]
004cbbd0	130	render	SKIP:FLDSTN	mov eax, dword ptr [esp + 4]
004d9360	309	render	SKIP:FLDSTN	sub esp, 0x18
004d9a60	320	render	SKIP:FLDSTN	sub esp, 0x28
004d9ee0	277	render	SKIP:FLDSTN	sub esp, 0x20
005aed20	119	audio	SKIP:FLDSTN	mov eax, dword ptr [esp + 8]
005c95b0	204	audio	CLEAN	sub esp, 8
