global	n_c2_users	region
0x007d3ff8	285	data
0x005d757c	170	rdata
0x005cc320	165	rdata
0x005cc32c	77	rdata
0x00616038	63	data
0x0068f640	46	data
0x007f100c	41	data
0x007d4110	38	data
0x005cc33c	36	rdata
0x006146fc	35	data
0x005cc56c	35	rdata
0x005cc9a0	33	rdata
0x007f0fd0	32	data
0x005cc31c	28	rdata
0x005cc068	28	rdata
0x005cc06c	28	rdata
0x005cc574	27	rdata
0x005cc94c	26	rdata
0x005cc35c	26	rdata
0x005cc55c	25	rdata
0x005ccac4	25	rdata
0x008aa254	25	data
0x005cc328	23	rdata
0x005cc090	23	rdata
0x005cc094	23	rdata
0x0068f4c8	22	data
0x007f1a14	21	data
0x005cc9c0	19	rdata
0x005cc568	19	rdata
0x0088e670	19	data
0x007f1a1c	18	data
0x005cd04c	18	rdata
0x005cc564	18	rdata
0x006bf1c8	18	data
0x006c71d8	18	data
0x005cc72c	17	rdata
0x005cc558	17	rdata
0x005cc950	17	rdata
0x005ccad0	17	rdata
0x007f1030	17	data
0x005ce18c	17	rdata
0x005ce6b8	17	rdata
0x006bf1cc	17	data
0x00911ae4	17	data
0x005cc99c	16	rdata
0x005cc358	16	rdata
0x005ccd6c	16	rdata
0x005cc560	16	rdata
0x005ccac0	15	rdata
0x007e9de4	15	data
0x007ea5e4	15	data
0x005cd0ec	15	rdata
0x006c9a78	15	data
0x00800000	14	data
0x005cc948	14	rdata
0x007e9de0	14	data
0x007ea1e4	14	data
0x005cd09c	14	rdata
0x005cd5a8	14	rdata
0x005cc9a4	13	rdata
0x005cc348	13	rdata
0x005cc9b0	13	rdata
0x005cc9f4	13	rdata
0x007d4108	13	data
0x007d410c	13	data
0x007d4628	13	data
0x005cd03c	12	rdata
0x005cd050	12	rdata
0x005cd088	12	rdata
0x006ce274	12	data
0x00911f90	12	data
0x005cc4de	11	rdata
0x005cc9bc	11	rdata
0x007ea9e4	11	data
0x007f101c	11	data
0x0063d9e0	11	data
0x007dc57c	11	data
0x006c6b90	11	data
0x006181b0	11	data
0x00911ae0	11	data
0x006146f0	10	data
0x007f1038	10	data
0x005cc728	10	rdata
0x007f1008	10	data
0x0067d838	10	data
0x0086cac0	10	data
0x005cc318	9	rdata
0x005cc750	9	rdata
0x005ccae0	9	rdata
0x007f1a5c	9	data
0x0063ba8c	9	data
0x005f2770	9	data
0x007f0ff8	9	data
0x005cc9fc	9	rdata
0x005cd0a0	9	rdata
0x0063d7e4	9	data
0x0067d83c	9	data
0x0067e9fc	9	data
0x006c6eb0	9	data
0x005cc088	9	rdata
0x007d4028	9	data
0x00618138	9	data
0x0063a5d0	8	data
0x005cc98c	8	rdata
0x005cc9b8	8	rdata
0x007f0ff4	8	data
0x005cd074	8	rdata
0x0089a368	8	data
0x005cd0c8	8	rdata
0x0063c1c8	8	data
0x007ec9e4	8	data
0x00646e58	8	data
0x005cd5fc	8	rdata
0x0067e9f8	8	data
0x005f9bd8	8	data
0x00604570	8	data
0x0068f648	8	data
0x008815a0	8	data
0x005ceb90	8	rdata
0x005cf9d0	8	rdata
0x00618430	8	data
0x007f1004	7	data
0x005cc990	7	rdata
0x005cc9c8	7	rdata
0x005cca08	7	rdata
0x005ccac8	7	rdata
0x0089a360	7	data
0x005cd0b8	7	rdata
0x0063bf30	7	data
0x007ea9e8	7	data
0x007ea9ec	7	data
0x005ce194	7	rdata
0x006905c8	7	data
0x00898a20	7	data
0x00898a24	7	data
0x00898a3c	7	data
0x00898a40	7	data
0x00898a58	7	data
0x00898a5c	7	data
0x0086cba4	7	data
0x006c6eb8	7	data
0x007d4054	7	data
0x007dcae0	7	data
0x005e6424	7	rdata
0x005cc324	6	rdata
0x005cc340	6	rdata
0x005cc8f4	6	rdata
0x005cc9d0	6	rdata
0x0066d728	6	data
0x008a9584	6	data
0x007f1a54	6	data
0x0080332c	6	data
0x00828320	6	data
0x007f1a9c	6	data
0x005cd0fc	6	rdata
0x007f1a50	6	data
0x0063c018	6	data
0x0063bfd8	6	data
0x007f1a18	6	data
0x00636acc	6	data
0x0063d850	6	data
0x005cd274	6	rdata
0x006403b0	6	data
0x005cd120	6	rdata
0x005cd6d4	6	rdata
0x0067ed38	6	data
0x0067eab0	6	data
0x006887d0	6	data
0x0088f680	6	data
0x0069049c	6	data
0x007eaa00	6	data
0x007ea9fc	6	data
0x007ea9f0	6	data
0x007ea9f4	6	data
0x007ea9f8	6	data
0x008815b4	6	data
0x0086cbc4	6	data
0x00898a28	6	data
0x00898a74	6	data
0x00898a78	6	data
0x00692418	6	data
0x00693178	6	data
0x00692b78	6	data
0x006c9758	6	data
0x005d0e88	6	rdata
0x005cfd30	6	rdata
0x005d0e74	6	rdata
0x007e95c0	6	data
0x005cc070	6	rdata
0x005cc2b4	6	rdata
0x005d8b90	6	rdata
0x007d4158	6	data
0x00617ff8	6	data
0x00636ac0	5	data
0x00771964	5	data
0x007f1042	5	data
0x005cc724	5	rdata
0x005cc730	5	rdata
0x005cc9b4	5	rdata
0x005cc9e0	5	rdata
