0x004e4450	RwFrameAddChild
0x004e45b0	RwFrameRemoveChild
0x004e4810	RpWorldAddLight
0x004e4860	RpWorldRemoveLight
0x004e4b90	RpLightSetConeAngle
0x004e4c30	RpLightStreamRead
0x004e4dd0	RpLightCreate
0x004e4ec0	RpLightDestroy
0x004e4f70	RwFrameDestroy
0x004e5020	RwFrameDestroyHierarchy
0x004e5300	RpWorldInstance
0x004e5660	RwEngineForAllPlugins
0x004e5700	RpWorldDestroy
0x004e5850	RpWorldCreate
0x004e5c30	RpWorldForAllAtomics
0x004e5c70	RpWorldForAllWorldSectors
0x004e6100	RpAtomicGetWorldBoundingSphere
0x004e6e00	RpClumpDestroy
0x004e6470	RpAtomicDestroy
0x004e66d0	RpClumpForAllAtomics
0x004e6760	RpClumpForAllLights
0x004e67b0	RpAtomicCreate
0x004e7060	RpAtomicStreamRead
0x004e7420	RpClumpStreamRead
0x004e7d40	RpAtomicRegisterPlugin
0x004e7d70	RpClumpRegisterPlugin
